Fecha,ID_local,clave_producto,venta,venta_empleado
07-nov-19,2,clz,1427,6332756
01-sep-19,1,clz,5056,1111222
23-abr-19,4,qsd,464,9922377
05-may-19,4,brr,2776,2630867
02-feb-20,3,qsd,1159,3833745
30-mar-19,2,brr,1106,1111222
25-dic-19,3,clz,560,6332756
28-may-19,2,clz,2776,2310967
11-abr-19,1,pzz,3533,2310967
06-feb-19,3,clz,2136,9611338
15-feb-19,1,pzz,2495,3833745
28-oct-19,4,pzz,809,4245367
17-ene-20,4,pzz,2789,3833745
18-feb-19,4,qsd,469,2520477
22-ene-20,1,clz,4227,1111222
28-sep-19,4,clz,2516,6332756
14-feb-19,1,brr,2904,5942572
20-jul-19,1,brr,1597,4245367
27-nov-19,3,pzz,1678,4245367
13-jun-19,3,clz,4617,9922377
25-sep-19,4,qsd,3414,1111222
08-ene-20,1,brr,2955,5942572
05-ago-19,3,pzz,2231,2310967
15-may-19,1,pzz,2379,1111222
18-feb-19,2,brr,3694,9922377
26-may-19,4,clz,233,5942572
18-ene-20,1,qsd,1012,1111222
17-jul-19,3,pzz,448,2630867
26-feb-20,2,pzz,491,1111222
12-jul-19,2,pzz,2394,5942572
11-ene-20,1,brr,3456,3833745
14-abr-19,4,brr,5249,2310967
24-mar-19,1,qsd,5753,9611338
19-nov-19,4,qsd,407,3833745
07-jul-19,2,brr,1736,4245367
16-feb-19,3,qsd,2943,4245367
25-dic-19,4,clz,2813,9611338
17-jun-19,4,brr,4534,1111222
09-feb-20,4,brr,2684,2630867
21-oct-19,1,clz,5478,1111222
05-feb-19,1,brr,1182,5942572
28-mar-19,1,clz,1483,3833745
19-ene-20,1,qsd,5094,5942572
23-jul-19,2,qsd,963,2310967
26-jun-19,3,brr,4763,2310967
10-jun-19,4,brr,2862,6332756
03-feb-20,3,clz,5093,6332756
15-feb-20,4,clz,4978,9611338
13-abr-19,1,qsd,5072,6931035
30-jun-19,3,qsd,2709,5942572
23-jun-19,3,qsd,3012,6931035
18-sep-19,2,clz,3605,9611338
19-feb-20,4,pzz,2050,5942572
23-jun-19,2,qsd,731,5942572
27-feb-19,4,clz,3320,2630867
17-oct-19,1,qsd,4879,9922377
02-ago-19,3,brr,5476,2310967
12-oct-19,4,pzz,474,2630867
20-oct-19,3,pzz,1548,2310967
02-sep-19,3,brr,4167,9922377
05-jun-19,3,qsd,2617,6332756
17-nov-19,1,qsd,4706,5942572
30-ene-20,1,clz,5640,6931035
27-feb-19,2,qsd,1143,6332756
18-feb-20,2,qsd,4234,6931035
28-ene-20,2,brr,2030,4245367
12-feb-19,2,clz,3641,1111222
26-jul-19,2,qsd,5789,4245367
29-mar-19,1,qsd,5376,6332756
09-mar-19,1,qsd,647,5942572
22-feb-20,4,clz,3656,9922377
29-abr-19,3,brr,4261,1111222
13-jun-19,4,brr,2666,1111222
07-nov-19,4,qsd,1586,9922377
08-dic-19,2,qsd,4922,3833745
13-may-19,1,brr,2943,6332756
18-ene-20,1,pzz,1241,2630867
22-ene-20,1,clz,1688,2520477
26-may-19,3,brr,5192,3833745
08-feb-19,3,pzz,5255,6931035
23-feb-19,4,clz,4391,5942572
29-oct-19,3,clz,5584,9922377
19-dic-19,4,pzz,2054,4245367
21-ene-20,4,brr,5994,6931035
22-feb-19,2,clz,5706,1111222
08-feb-20,1,clz,5125,2520477
28-ene-20,1,pzz,696,9611338
16-sep-19,1,pzz,975,5942572
25-ene-20,1,pzz,2838,9611338
18-sep-19,2,qsd,3763,6332756
15-ene-20,2,clz,576,9611338
07-sep-19,3,qsd,1330,5942572
05-ago-19,4,qsd,4133,6931035
20-oct-19,4,brr,2128,6332756
27-oct-19,1,pzz,5294,3833745
27-mar-19,4,pzz,759,2310967
03-feb-20,4,qsd,1617,2310967
30-abr-19,4,pzz,1095,2310967
16-jun-19,4,qsd,2588,9611338
10-may-19,2,pzz,1428,9611338
30-nov-19,1,brr,1569,9611338
10-mar-19,1,qsd,2925,9922377
13-ene-20,3,pzz,4434,1111222
02-ago-19,1,qsd,5467,9611338
07-feb-19,4,qsd,5052,4245367
03-sep-19,3,clz,482,9611338
26-jun-19,3,qsd,1561,2310967
05-sep-19,4,brr,1683,4245367
05-abr-19,4,brr,2254,2630867
05-dic-19,4,clz,963,9611338
18-mar-19,4,brr,4917,2310967
08-mar-19,1,pzz,2561,1111222
11-jun-19,3,brr,514,2520477
07-dic-19,2,pzz,2117,1111222
28-dic-19,1,brr,5017,5942572
24-feb-19,4,clz,1246,2630867
04-ago-19,2,clz,5160,3833745
03-mar-20,4,qsd,1837,9922377
19-ago-19,3,brr,3821,5942572
24-nov-19,1,brr,1212,2630867
19-dic-19,4,brr,832,3833745
11-jul-19,3,brr,4526,2630867
31-mar-19,1,clz,4499,3833745
01-jun-19,3,qsd,1780,9922377
09-feb-19,4,qsd,1501,2310967
19-may-19,2,clz,3837,4245367
15-jun-19,3,qsd,614,6931035
03-mar-20,4,qsd,2453,6332756
30-jul-19,1,qsd,4816,1111222
06-ago-19,4,pzz,2876,6332756
27-abr-19,4,pzz,2646,1111222
01-dic-19,1,qsd,3877,2310967
19-abr-19,3,clz,3718,2630867
22-ago-19,4,pzz,5071,9611338
07-abr-19,3,clz,5672,3833745
24-oct-19,4,pzz,2601,2630867
06-sep-19,3,qsd,5458,6931035
05-may-19,1,qsd,2229,1111222
27-mar-19,1,pzz,3988,1111222
18-may-19,4,brr,5329,2310967
09-sep-19,4,qsd,5332,2310967
16-oct-19,4,clz,2352,5942572
08-feb-19,4,qsd,3592,4245367
09-nov-19,4,pzz,4017,1111222
22-feb-19,4,qsd,1806,4245367
11-dic-19,2,clz,5122,4245367
29-feb-20,1,pzz,4622,2520477
07-nov-19,3,clz,914,4245367
27-jun-19,3,brr,3806,3833745
12-ago-19,3,brr,3140,2630867
22-ene-20,3,brr,4503,2630867
30-ene-20,2,qsd,472,5942572
07-oct-19,4,qsd,2309,3833745
30-oct-19,1,brr,3933,9922377
16-oct-19,4,brr,3605,2520477
28-feb-20,3,brr,4114,6931035
07-feb-19,1,qsd,4298,9611338
18-dic-19,1,brr,2239,2310967
14-dic-19,1,qsd,756,5942572
07-oct-19,2,clz,2318,5942572
14-oct-19,2,clz,1353,2630867
04-nov-19,1,qsd,2379,1111222
31-ene-20,3,brr,3706,3833745
11-jul-19,2,pzz,1201,5942572
27-feb-19,1,qsd,5516,5942572
07-dic-19,2,pzz,5655,5942572
09-oct-19,3,qsd,3839,1111222
03-mar-20,2,clz,5423,6931035
13-jun-19,3,brr,4098,5942572
28-may-19,4,qsd,1617,9922377
10-dic-19,1,brr,3177,2520477
17-nov-19,1,pzz,1889,6332756
07-oct-19,2,brr,322,3833745
23-sep-19,1,pzz,3971,4245367
09-oct-19,1,qsd,1350,2630867
23-feb-19,1,qsd,5283,3833745
18-may-19,3,clz,1563,1111222
20-dic-19,3,qsd,4353,2310967
05-oct-19,3,pzz,5604,5942572
02-mar-20,1,brr,1551,6931035
24-oct-19,4,qsd,2042,9611338
15-abr-19,1,brr,3603,2630867
18-nov-19,3,pzz,4666,2310967
09-ene-20,1,qsd,1857,6332756
14-ago-19,2,clz,3917,2630867
23-jul-19,1,brr,5914,3833745
18-jun-19,3,brr,2364,2520477
08-dic-19,4,qsd,861,9922377
30-dic-19,3,clz,4954,1111222
31-jul-19,2,pzz,1172,9922377
29-dic-19,1,clz,435,6332756
31-ene-20,4,pzz,3648,9922377
26-nov-19,4,qsd,421,9611338
20-oct-19,4,brr,2724,2310967
11-may-19,4,pzz,3795,9922377
05-dic-19,4,pzz,3803,6931035
11-may-19,4,qsd,5479,9611338
09-oct-19,4,clz,1619,5942572
31-dic-19,1,qsd,911,4245367
05-may-19,4,clz,1156,4245367
01-mar-20,1,brr,5998,2310967
05-dic-19,4,pzz,3281,6332756
10-ene-20,1,brr,3929,2520477
09-mar-19,2,qsd,2088,5942572
23-mar-19,1,brr,5254,2520477
22-may-19,1,brr,3611,9922377
05-feb-19,1,clz,4115,2630867
12-ago-19,2,qsd,2793,2520477
09-jul-19,4,qsd,2626,9611338
12-abr-19,1,clz,597,2630867
24-dic-19,4,brr,5196,4245367
29-jun-19,4,brr,4283,5942572
19-jul-19,2,clz,4509,2520477
14-oct-19,4,qsd,526,9611338
22-ago-19,4,qsd,2557,6332756
10-feb-19,3,pzz,3553,1111222
08-oct-19,1,clz,5368,9922377
10-nov-19,3,pzz,525,2630867
21-jul-19,3,pzz,4796,9922377
09-mar-20,3,pzz,2435,3833745
24-feb-20,1,qsd,3871,2630867
29-oct-19,4,clz,822,2630867
11-oct-19,1,qsd,4555,5942572
06-nov-19,4,clz,4366,2520477
12-nov-19,1,pzz,1078,3833745
01-jun-19,2,clz,2467,9611338
10-feb-19,4,pzz,4389,9922377
09-feb-20,1,brr,2677,6332756
30-mar-19,1,clz,5522,2630867
01-feb-20,4,clz,3021,2630867
04-feb-19,2,pzz,5474,6931035
07-may-19,4,qsd,3235,9611338
29-abr-19,2,pzz,719,2520477
07-mar-19,1,clz,4197,2520477
05-jul-19,4,brr,4260,2520477
14-oct-19,4,brr,3192,5942572
15-ene-20,3,brr,1292,3833745
09-jun-19,4,pzz,1586,6931035
27-feb-19,3,pzz,3049,2630867
24-mar-19,3,pzz,2087,2310967
23-feb-20,4,clz,4754,9611338
16-mar-19,1,qsd,3037,4245367
30-ene-20,4,brr,5395,3833745
22-may-19,3,qsd,5220,6332756
30-mar-19,4,brr,5479,6931035
08-oct-19,2,qsd,3377,5942572
07-jul-19,3,qsd,4474,9922377
27-nov-19,2,brr,1280,3833745
20-may-19,3,clz,1867,3833745
21-may-19,3,pzz,301,2630867
24-may-19,2,qsd,5194,6332756
20-feb-19,1,brr,1858,3833745
15-ago-19,4,qsd,4643,5942572
24-jun-19,1,pzz,4375,2630867
26-feb-19,3,brr,1970,2310967
16-mar-19,3,clz,4059,5942572
16-jun-19,3,qsd,1200,9611338
27-feb-20,4,qsd,927,5942572
08-mar-19,2,pzz,3879,4245367
09-feb-20,3,qsd,3149,9922377
29-feb-20,2,pzz,5716,6931035
11-oct-19,2,brr,4214,9922377
27-mar-19,1,qsd,4039,3833745
03-may-19,3,brr,3009,9611338
18-sep-19,2,qsd,5138,5942572
16-ago-19,2,brr,1237,2310967
28-feb-19,4,brr,959,5942572
26-may-19,4,pzz,1956,6931035
13-ago-19,2,clz,5843,6931035
29-sep-19,1,brr,3983,4245367
16-dic-19,4,qsd,817,2310967
21-feb-19,2,brr,1449,3833745
22-mar-19,2,clz,5971,6332756
15-may-19,1,brr,5831,5942572
04-abr-19,2,qsd,1343,2520477
26-ene-20,4,clz,3416,6931035
25-may-19,3,qsd,2837,1111222
20-sep-19,3,pzz,5322,2520477
07-mar-20,4,pzz,5906,3833745
08-ago-19,4,clz,1479,6332756
11-nov-19,1,clz,5345,6931035
20-feb-19,1,pzz,5829,2630867
04-feb-20,1,clz,3586,3833745
26-jun-19,4,clz,1090,9611338
31-mar-19,1,brr,3321,2520477
08-mar-19,3,qsd,4896,5942572
01-ago-19,1,qsd,5841,9611338
19-ago-19,2,qsd,660,2310967
18-ene-20,2,brr,1068,6332756
22-jul-19,3,clz,2417,6931035
12-oct-19,1,qsd,1715,4245367
08-may-19,2,clz,402,5942572
27-jul-19,3,brr,1435,2520477
03-may-19,2,brr,3409,1111222
24-jun-19,4,brr,663,5942572
20-feb-19,1,clz,3245,9922377
07-feb-20,3,clz,4810,6931035
01-jun-19,1,clz,3393,6332756
10-jul-19,2,qsd,3339,4245367
08-mar-20,2,qsd,3623,9922377
06-dic-19,2,qsd,2489,4245367
11-ene-20,4,pzz,4848,5942572
06-feb-20,3,qsd,1794,1111222
08-sep-19,1,clz,1016,9922377
02-oct-19,1,clz,3590,9922377
16-oct-19,2,pzz,5971,2520477
18-jul-19,4,qsd,4910,6931035
24-feb-19,4,clz,2437,2310967
01-nov-19,4,pzz,5598,2520477
03-dic-19,1,qsd,2150,1111222
28-oct-19,3,pzz,4276,2310967
02-mar-19,1,pzz,4452,3833745
27-sep-19,3,clz,501,6332756
14-ene-20,1,brr,4641,5942572
05-dic-19,3,qsd,1759,2520477
07-oct-19,2,brr,2140,6332756
03-feb-20,2,brr,4840,2520477
26-sep-19,1,pzz,5968,3833745
24-abr-19,1,qsd,3748,4245367
06-jun-19,4,brr,4157,9611338
07-feb-20,1,brr,2673,6332756
03-mar-20,4,brr,3509,2630867
13-mar-19,2,brr,876,4245367
05-nov-19,4,brr,1999,1111222
03-feb-20,1,pzz,898,9611338
13-jul-19,1,qsd,5306,3833745
31-dic-19,4,brr,1402,6332756
28-feb-20,4,qsd,1560,2310967
09-feb-19,4,clz,5362,3833745
28-dic-19,2,pzz,2148,9922377
28-sep-19,3,pzz,3739,9611338
10-jun-19,2,pzz,4763,9922377
15-oct-19,2,clz,2804,6931035
04-ene-20,4,pzz,2080,6931035
17-feb-20,4,qsd,1651,1111222
12-oct-19,4,clz,752,5942572
26-feb-19,4,brr,425,2520477
30-abr-19,3,brr,2995,6332756
10-mar-20,4,brr,5585,6931035
01-dic-19,1,clz,5348,4245367
20-ene-20,2,qsd,691,2520477
02-oct-19,1,brr,2139,1111222
20-nov-19,4,pzz,3997,4245367
18-sep-19,4,qsd,1359,2310967
27-feb-19,1,brr,3360,4245367
23-abr-19,3,clz,967,1111222
06-may-19,1,qsd,3000,6332756
06-ago-19,3,clz,585,2310967
20-feb-19,1,qsd,2685,6931035
21-ene-20,4,clz,502,1111222
25-dic-19,2,pzz,3283,2310967
25-sep-19,4,clz,879,4245367
10-feb-19,3,clz,383,9611338
24-sep-19,2,qsd,3483,2630867
29-jun-19,4,pzz,757,5942572
23-jul-19,1,brr,5421,2630867
20-may-19,3,pzz,2194,4245367
14-nov-19,3,qsd,2456,2310967
21-may-19,2,brr,3977,1111222
02-nov-19,3,pzz,4669,5942572
17-may-19,2,brr,625,4245367
21-feb-19,4,qsd,3228,6332756
25-jul-19,4,qsd,1733,1111222
11-feb-20,3,pzz,4619,5942572
21-oct-19,4,clz,3945,6931035
09-dic-19,4,brr,5892,2630867
18-oct-19,2,qsd,2163,9611338
24-feb-20,3,qsd,2207,3833745
06-jul-19,3,qsd,3198,2310967
06-sep-19,3,brr,4778,6332756
22-sep-19,1,pzz,1689,3833745
26-ene-20,1,brr,2722,2520477
11-feb-19,4,clz,1086,3833745
15-oct-19,4,qsd,2626,4245367
15-feb-19,2,clz,713,2310967
20-mar-19,3,pzz,2591,6931035
24-may-19,1,qsd,2937,6332756
12-mar-19,4,pzz,262,1111222
01-ene-20,1,qsd,3094,9611338
23-nov-19,2,clz,5205,2310967
21-abr-19,2,clz,2831,2310967
16-oct-19,3,brr,2081,9611338
27-may-19,1,brr,1721,5942572
07-sep-19,2,clz,5226,1111222
01-jul-19,2,qsd,1493,9611338
28-feb-19,4,brr,5473,2310967
03-feb-20,1,clz,2500,2310967
14-jul-19,3,brr,5581,4245367
18-abr-19,2,qsd,1400,2630867
11-oct-19,2,qsd,1201,4245367
22-abr-19,2,pzz,3308,9611338
02-nov-19,4,pzz,1781,3833745
15-ene-20,4,brr,1116,6931035
29-ene-20,4,clz,5681,6931035
17-ago-19,3,clz,797,9922377
17-ago-19,3,brr,4223,6332756
04-ene-20,2,clz,763,2630867
01-mar-19,3,brr,691,3833745
13-abr-19,1,pzz,356,5942572
08-nov-19,4,pzz,3233,1111222
07-abr-19,2,pzz,3058,9922377
26-mar-19,4,clz,5669,1111222
18-ago-19,2,clz,3935,2630867
15-ene-20,4,clz,337,9611338
21-dic-19,2,brr,5720,9611338
06-ene-20,2,clz,3468,2630867
17-oct-19,3,brr,4270,2630867
19-abr-19,2,clz,5324,4245367
07-mar-19,2,qsd,2758,2310967
12-jun-19,4,qsd,5195,5942572
20-sep-19,1,clz,4174,9922377
30-dic-19,3,qsd,1314,6332756
06-may-19,3,pzz,2329,5942572
30-dic-19,3,brr,4660,2310967
21-sep-19,1,brr,2355,2310967
19-oct-19,1,clz,1872,4245367
21-ago-19,4,clz,1111,2630867
08-mar-19,1,pzz,489,6931035
15-feb-20,1,pzz,1261,6931035
06-jun-19,4,pzz,4735,1111222
22-abr-19,1,brr,891,2630867
02-dic-19,3,qsd,3996,2310967
11-jun-19,3,clz,5790,6931035
28-may-19,2,qsd,1002,1111222
07-mar-20,3,clz,2790,1111222
15-abr-19,1,pzz,1028,4245367
07-ene-20,2,pzz,433,2630867
18-feb-19,3,clz,3035,6332756
21-sep-19,3,clz,3756,2630867
07-nov-19,4,brr,1013,4245367
03-ago-19,2,clz,1809,5942572
15-ago-19,2,qsd,5308,2310967
23-mar-19,3,qsd,4369,4245367
13-jul-19,3,brr,3963,2630867
03-jul-19,3,brr,641,9922377
04-feb-19,2,qsd,3516,6931035
04-ene-20,1,qsd,3044,3833745
11-ene-20,3,brr,672,2630867
22-jun-19,2,brr,3738,2310967
10-may-19,3,qsd,507,2520477
15-oct-19,2,clz,3057,9611338
14-jun-19,1,qsd,5498,4245367
25-feb-19,1,clz,2419,2630867
30-oct-19,1,pzz,1241,2310967
25-dic-19,3,pzz,1946,5942572
11-ene-20,3,qsd,2440,5942572
21-jun-19,2,brr,4254,1111222
20-may-19,3,brr,1307,2310967
08-ene-20,1,qsd,2301,9611338
22-feb-19,4,qsd,4805,9922377
08-may-19,3,brr,4590,9611338
22-feb-20,3,pzz,886,9611338
12-feb-20,2,pzz,1957,1111222
08-jun-19,3,brr,5969,2310967
24-feb-19,1,clz,1361,1111222
17-mar-19,3,pzz,1267,5942572
04-jul-19,3,brr,4499,6332756
20-jul-19,1,pzz,5659,2630867
15-ene-20,4,qsd,2294,2520477
30-jul-19,4,pzz,1260,4245367
08-dic-19,3,pzz,570,6931035
05-nov-19,4,pzz,5433,9922377
20-jun-19,1,brr,4398,9611338
09-may-19,1,clz,3174,6931035
03-oct-19,1,qsd,1212,3833745
13-feb-19,4,qsd,5057,1111222
11-jun-19,2,pzz,2539,2310967
28-feb-20,3,clz,3483,2520477
12-nov-19,1,pzz,5597,9922377
13-jun-19,3,clz,3266,2630867
28-ago-19,2,pzz,5953,1111222
04-feb-20,4,clz,510,6931035
21-oct-19,4,brr,325,2520477
20-may-19,1,clz,5479,2310967
26-abr-19,1,pzz,2641,9611338
04-sep-19,1,brr,3132,5942572
29-nov-19,3,brr,5864,9922377
30-mar-19,3,pzz,5483,2310967
14-feb-19,4,clz,848,9611338
09-mar-20,1,clz,987,6931035
27-jun-19,1,clz,4772,2310967
04-oct-19,4,clz,4620,6931035
26-feb-20,1,clz,1102,2310967
01-dic-19,1,pzz,1981,3833745
18-jun-19,3,clz,1142,2630867
25-oct-19,3,qsd,938,6931035
08-ago-19,4,qsd,1094,5942572
02-mar-20,1,brr,4966,6931035
06-oct-19,3,pzz,5659,4245367
18-jun-19,4,qsd,4470,2630867
22-dic-19,2,pzz,3025,1111222
07-may-19,1,clz,3949,6931035
07-may-19,3,brr,1568,9611338
14-abr-19,2,clz,4924,6332756
11-ago-19,4,pzz,565,2630867
25-mar-19,1,brr,1729,9922377
20-jun-19,1,clz,4295,6332756
25-ago-19,3,clz,4265,6332756
17-mar-19,2,qsd,5917,2630867
06-feb-20,3,brr,4033,5942572
08-may-19,4,pzz,4017,5942572
23-mar-19,1,clz,3884,4245367
20-ago-19,1,pzz,5694,9922377
15-feb-19,4,qsd,4768,2310967
16-sep-19,1,brr,2227,4245367
28-sep-19,2,brr,2547,6931035
02-mar-19,3,qsd,4433,6332756
28-may-19,3,pzz,4953,6931035
14-jun-19,2,qsd,3758,6332756
24-sep-19,4,brr,734,9922377
29-jul-19,3,qsd,5570,9611338
30-sep-19,2,qsd,4031,5942572
04-nov-19,3,qsd,4816,9922377
15-dic-19,4,qsd,4050,9922377
28-feb-19,1,pzz,302,9611338
10-jun-19,3,clz,5522,2630867
01-feb-20,4,qsd,5430,6332756
19-ago-19,3,brr,2848,9922377
14-may-19,3,clz,3677,2630867
16-nov-19,3,pzz,241,6931035
28-feb-20,3,qsd,3478,4245367
30-jun-19,4,clz,250,6931035
14-may-19,4,brr,2744,5942572
19-ene-20,4,pzz,923,3833745
29-abr-19,4,clz,3051,4245367
23-feb-19,4,brr,4143,2520477
26-jun-19,3,brr,5974,4245367
27-abr-19,4,clz,4477,5942572
07-oct-19,3,brr,2147,9611338
19-ago-19,2,clz,3737,2310967
06-jun-19,2,clz,1627,5942572
04-oct-19,1,clz,4804,5942572
07-feb-20,4,qsd,4146,6931035
10-feb-20,2,brr,2469,6332756
05-oct-19,4,brr,2626,6332756
23-dic-19,3,brr,3729,2520477
15-dic-19,1,qsd,2040,2630867
09-oct-19,2,clz,1635,9611338
15-feb-20,4,clz,2722,2520477
09-sep-19,4,pzz,402,9922377
16-jun-19,3,qsd,1853,6332756
06-mar-19,2,brr,3374,4245367
04-dic-19,1,brr,1238,9611338
20-ago-19,1,qsd,1246,4245367
05-abr-19,1,pzz,3416,2630867
29-may-19,4,clz,1183,2630867
29-abr-19,2,qsd,3225,4245367
11-feb-19,3,qsd,362,1111222
17-sep-19,4,pzz,5055,9611338
